Species,Month
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Aug
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jul
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,Jun
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,May
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Oct
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_anaethetus,Sep
Sterna_ancathelus,Jul
Sterna_ancathelus,Jul
Sterna_ancathelus,Jul
Sterna_ancathelus,Jul
Sterna_ancathelus,Jul
Sterna_ancathelus,Jul
Anhinga_anhinga,Aug
Anhinga_anhinga,Mar
Anhinga_anhinga,Mar
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Nov
Anhinga_anhinga,Oct
Calypte_anna X NEEDS EDITING,Dec
Calypte_anna X NEEDS EDITING,Feb
Sterna_antillarum,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Apr
Larus_argentatus,Aug
Larus_argentatus,Jul
Larus_argentatus,Jun
Larus_argentatus,Jun
Larus_argentatus,May
Larus_argentatus,May
Larus_argentatus,Nov
Larus_argentatus,Nov
Larus_argentatus,Nov
Larus_argentatus,Oct
Larus_argentatus,Oct
Larus_argentatus,Oct
Larus_argentatus,Oct
Larus_argentatus,Sep
Larus_argentatus,Sep
Larus_argentatus X dominicanus,Aug
Larus_argentatus X dominicanus,Aug
Larus_argentatus X dominicanus,Aug
Larus_argentatus X dominicanus,Aug
Larus_argentatus X dominicanus,Jun
Larus_argentatus X hyperboreus,Apr
Larus_argentatus X marinus,Apr
Larus_argentatus X marinus,Oct
Larus_argentatus X marinus,Oct
Setophaga_americana,Oct
Zenaida_asiatica,Apr
Zenaida_asiatica,Aug
Zenaida_asiatica,Feb
Zenaida_asiatica,Mar
Zenaida_asiatica,Mar
Zenaida_asiatica,May
Zenaida_asiatica,Oct
Zenaida_asiatica,Oct
Zenaida_asiatica,Oct
Megascops_asio,Apr
Megascops_asio,Aug
Megascops_asio,Dec
Megascops_asio,Feb
Megascops_asio,Feb
Megascops_asio,Jan
Megascops_asio,Jan
Megascops_asio,Jan
Megascops_asio,Jun
Megascops_asio,Mar
Megascops_asio,Mar
Megascops_asio,Nov
Megascops_asio,Nov
Megascops_asio,Sep
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
Molothrus_ater,Apr
